ID	BAT_3	BAT_4	BAT_cold_3	BAT_cold_4	BAT_1	BAT_2	BAT_cold_1	BAT_cold_2	WAT_cold_1	WAT_cold_2	WAT_cold_3	WAT_cold_4	WAT_1	WAT_2	WAT_3	WAT_4
ENSMUSG00000100055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065430	0	0	1	0	0	0	1	1	0	1	2	0	4	1	1	2
ENSMUSG00000096927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079800	1	1	0	0	0	0	0	0	20	98	69	52	134	95	162	116
ENSMUSG00000096393	0	1	0	0	0	0	0	0	4	20	24	33	55	20	54	33
ENSMUSG00000087379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029620	6	3	1	0	2	9	1	1	0	0	0	0	1	0	0	0
ENSMUSG00000096430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103932	4	2	1	0	6	3	0	0	12	4	15	8	17	18	16	24
ENSMUSG00000083863	562	467	1064	1475	620	694	417	1087	507	174	224	406	146	371	73	467
ENSMUSG00000095159	13	14	25	52	17	10	7	23	27	13	11	27	20	8	11	19
ENSMUSG00000086550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056699	0	0	0	1	2	0	0	1	1	9	18	7	21	6	29	23
ENSMUSG00000101337	10	5	0	1	6	6	2	2	23	16	19	11	21	30	19	20
ENSMUSG00000092281	1	1	15	12	1	4	0	3	19	30	30	22	44	19	13	25
ENSMUSG00000095866	0	0	0	0	0	0	0	0	0	6	2	6	3	1	5	2
ENSMUSG00000046111	568	555	239	277	568	633	224	304	794	1514	1381	1415	2093	1822	1637	1433
ENSMUSG00000104516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092480	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000035237	77	83	45	26	59	136	43	36	101	127	93	133	122	112	89	78
ENSMUSG00000057531	4376	4620	6483	7323	4399	5081	6499	7535	4583	3338	3593	4131	2874	3117	2639	2998
ENSMUSG00000077542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074896	1429	601	442	301	2048	810	367	706	939	1367	2354	2065	5747	1856	1675	4613
ENSMUSG00000084356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001504	18	10	38	14	37	43	34	75	376	3696	2875	3520	2815	2064	1774	2175
ENSMUSG00000101278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084965	0	2	4	0	1	1	0	0	0	0	0	1	1	0	0	1
ENSMUSG00000073913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000014603	1	0	0	0	0	0	0	0	6	22	16	22	15	17	16	12
ENSMUSG00000044021	1	0	0	4	2	3	2	0	6	2	0	3	3	0	3	1
ENSMUSG00000004542	1	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0
ENSMUSG00000101940	27	32	2	5	29	29	12	5	16	6	5	6	9	11	5	6
ENSMUSG00000027550	761	680	359	318	862	727	308	361	720	1758	1514	1394	2064	1768	1783	1627
ENSMUSG00000098881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025203	4446	5243	61622	45088	11379	4019	38593	35926	76155	45454	35942	46384	24102	17277	18099	17779
ENSMUSG00000089780	10	5	20	10	11	10	26	10	10	8	4	17	8	8	9	7
ENSMUSG00000004207	122194	117855	130139	135750	128390	138451	119544	138340	110986	126146	136500	132845	111285	120265	109132	97176
ENSMUSG00000055027	431	775	137	39	692	675	165	477	1403	108	110	202	167	917	2911	853
ENSMUSG00000068083	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
